Llegada=248, Procesamiento=316
Llegada=420, Procesamiento=790
Llegada=441, Procesamiento=651
Llegada=572, Procesamiento=545
Llegada=736, Procesamiento=100
Llegada=763, Procesamiento=427
Llegada=788, Procesamiento=891
Llegada=938, Procesamiento=676
Llegada=1059, Procesamiento=427
Llegada=1173, Procesamiento=113
Llegada=1200, Procesamiento=20
Llegada=1240, Procesamiento=984
Llegada=1290, Procesamiento=799
Llegada=1330, Procesamiento=453
Llegada=1481, Procesamiento=145
Llegada=1882, Procesamiento=396
Llegada=2141, Procesamiento=562
Llegada=2155, Procesamiento=701
Llegada=2207, Procesamiento=221
Llegada=2231, Procesamiento=834
Llegada=2244, Procesamiento=58
Llegada=2598, Procesamiento=997
Llegada=2770, Procesamiento=818
Llegada=2789, Procesamiento=628
Llegada=2800, Procesamiento=589
Llegada=3067, Procesamiento=770
Llegada=3200, Procesamiento=815
Llegada=3298, Procesamiento=436
Llegada=3456, Procesamiento=880
Llegada=3479, Procesamiento=192
Llegada=3841, Procesamiento=432
Llegada=3849, Procesamiento=165
Llegada=3854, Procesamiento=114
Llegada=4063, Procesamiento=794
Llegada=4219, Procesamiento=830
Llegada=4295, Procesamiento=867
Llegada=4297, Procesamiento=700
Llegada=4504, Procesamiento=850
Llegada=4604, Procesamiento=431
Llegada=4713, Procesamiento=48
Llegada=4775, Procesamiento=437
Llegada=4874, Procesamiento=212
Llegada=5078, Procesamiento=447
Llegada=5180, Procesamiento=921
Llegada=5231, Procesamiento=958
Llegada=5293, Procesamiento=939
Llegada=5296, Procesamiento=36
Llegada=5422, Procesamiento=264
Llegada=5447, Procesamiento=637
Llegada=5458, Procesamiento=381
Llegada=5503, Procesamiento=463
Llegada=5536, Procesamiento=921
Llegada=5552, Procesamiento=308
Llegada=5582, Procesamiento=665
Llegada=5758, Procesamiento=110
Llegada=5882, Procesamiento=88
Llegada=5937, Procesamiento=930
Llegada=5949, Procesamiento=691
Llegada=6022, Procesamiento=987
Llegada=6106, Procesamiento=30
Llegada=6142, Procesamiento=875
Llegada=6359, Procesamiento=491
Llegada=6654, Procesamiento=305
Llegada=6691, Procesamiento=731
Llegada=6713, Procesamiento=950
Llegada=6774, Procesamiento=449
Llegada=7052, Procesamiento=118
Llegada=7241, Procesamiento=224
Llegada=7270, Procesamiento=895
Llegada=7360, Procesamiento=482
Llegada=7422, Procesamiento=321
Llegada=7520, Procesamiento=628
Llegada=7597, Procesamiento=421
Llegada=7646, Procesamiento=824
Llegada=7920, Procesamiento=515
Llegada=8466, Procesamiento=223
Llegada=8547, Procesamiento=96
Llegada=8560, Procesamiento=474
Llegada=8571, Procesamiento=119
Llegada=8604, Procesamiento=225
Llegada=8658, Procesamiento=759
Llegada=8834, Procesamiento=728
Llegada=8838, Procesamiento=166
Llegada=8867, Procesamiento=125
Llegada=8934, Procesamiento=833
Llegada=9197, Procesamiento=579
Llegada=9204, Procesamiento=52
Llegada=9206, Procesamiento=821
Llegada=9316, Procesamiento=948
Llegada=9357, Procesamiento=657
Llegada=9666, Procesamiento=985
Llegada=9943, Procesamiento=30
Llegada=10225, Procesamiento=322
Llegada=10248, Procesamiento=611
Llegada=10332, Procesamiento=735
Llegada=10354, Procesamiento=388
Llegada=10400, Procesamiento=556
Llegada=10832, Procesamiento=863
Llegada=11042, Procesamiento=629
Llegada=11176, Procesamiento=493
Llegada=11434, Procesamiento=867
Llegada=11467, Procesamiento=615
Llegada=11594, Procesamiento=316
Llegada=11608, Procesamiento=886
Llegada=11682, Procesamiento=722
Llegada=11965, Procesamiento=998
Llegada=12262, Procesamiento=477
Llegada=12369, Procesamiento=681
Llegada=12404, Procesamiento=25
Llegada=12417, Procesamiento=890
Llegada=12498, Procesamiento=266
Llegada=12602, Procesamiento=742
Llegada=12606, Procesamiento=276
Llegada=12630, Procesamiento=218
Llegada=12812, Procesamiento=465
Llegada=12930, Procesamiento=557
Llegada=12942, Procesamiento=214
Llegada=13037, Procesamiento=924
Llegada=13210, Procesamiento=20
Llegada=13298, Procesamiento=139
Llegada=13318, Procesamiento=184
Llegada=13517, Procesamiento=869
Llegada=13610, Procesamiento=998
Llegada=13722, Procesamiento=961
Llegada=14014, Procesamiento=952
Llegada=14092, Procesamiento=772
Llegada=14300, Procesamiento=503
Llegada=14363, Procesamiento=798
Llegada=14439, Procesamiento=855
Llegada=14507, Procesamiento=723
Llegada=14849, Procesamiento=666
Llegada=14891, Procesamiento=156
Llegada=14978, Procesamiento=189
Llegada=15020, Procesamiento=461
Llegada=15058, Procesamiento=623
Llegada=15072, Procesamiento=661
Llegada=15307, Procesamiento=689
Llegada=15330, Procesamiento=193
Llegada=15476, Procesamiento=734
Llegada=15619, Procesamiento=488
Llegada=15682, Procesamiento=744
Llegada=15711, Procesamiento=395
Llegada=15805, Procesamiento=430
Llegada=15976, Procesamiento=225
Llegada=16032, Procesamiento=627
Llegada=16074, Procesamiento=404
Llegada=16177, Procesamiento=220
Llegada=16357, Procesamiento=574
Llegada=16364, Procesamiento=983
Llegada=16381, Procesamiento=478
Llegada=16503, Procesamiento=718
Llegada=16523, Procesamiento=319
Llegada=16563, Procesamiento=19
Llegada=16627, Procesamiento=569
Llegada=16655, Procesamiento=855
Llegada=16705, Procesamiento=813
Llegada=16780, Procesamiento=921
Llegada=16881, Procesamiento=58
Llegada=17119, Procesamiento=657
Llegada=17171, Procesamiento=828
Llegada=17181, Procesamiento=403
Llegada=17240, Procesamiento=44
Llegada=17288, Procesamiento=66
Llegada=17410, Procesamiento=952
Llegada=17422, Procesamiento=241
Llegada=17439, Procesamiento=162
Llegada=17597, Procesamiento=466
Llegada=17690, Procesamiento=348
Llegada=17804, Procesamiento=631
Llegada=17950, Procesamiento=831
Llegada=18179, Procesamiento=91
Llegada=18302, Procesamiento=262
Llegada=18328, Procesamiento=630
Llegada=18567, Procesamiento=847
Llegada=18653, Procesamiento=1
Llegada=18864, Procesamiento=572
Llegada=18869, Procesamiento=531
Llegada=19244, Procesamiento=48
Llegada=19305, Procesamiento=435
Llegada=19337, Procesamiento=311
Llegada=19355, Procesamiento=11
Llegada=19426, Procesamiento=467
Llegada=19571, Procesamiento=293
Llegada=19691, Procesamiento=525
Llegada=19703, Procesamiento=232
Llegada=19870, Procesamiento=94
Llegada=19884, Procesamiento=942
Llegada=19964, Procesamiento=487
Llegada=20037, Procesamiento=462
Llegada=20075, Procesamiento=875
Llegada=20144, Procesamiento=822
Llegada=20300, Procesamiento=827
Llegada=20363, Procesamiento=44
Llegada=20395, Procesamiento=849
Llegada=20479, Procesamiento=135
Llegada=20756, Procesamiento=498
Llegada=20766, Procesamiento=448
Llegada=20848, Procesamiento=903
Llegada=20970, Procesamiento=793
Llegada=21155, Procesamiento=909
Llegada=21274, Procesamiento=608
Llegada=21301, Procesamiento=493
Llegada=21531, Procesamiento=746
Llegada=21594, Procesamiento=253
Llegada=21674, Procesamiento=792
Llegada=21685, Procesamiento=438
Llegada=21692, Procesamiento=480
Llegada=21751, Procesamiento=184
Llegada=22063, Procesamiento=561
Llegada=22254, Procesamiento=281
Llegada=22266, Procesamiento=537
Llegada=22427, Procesamiento=615
Llegada=22578, Procesamiento=385
Llegada=22823, Procesamiento=707
Llegada=22860, Procesamiento=68
Llegada=22906, Procesamiento=131
Llegada=22947, Procesamiento=755
Llegada=22993, Procesamiento=671
Llegada=23119, Procesamiento=236
Llegada=23665, Procesamiento=422
Llegada=23770, Procesamiento=148
Llegada=23884, Procesamiento=402
Llegada=23981, Procesamiento=918
Llegada=23992, Procesamiento=296
Llegada=24046, Procesamiento=422
Llegada=24113, Procesamiento=833
Llegada=24126, Procesamiento=931
Llegada=24531, Procesamiento=537
Llegada=24577, Procesamiento=431
Llegada=24804, Procesamiento=605
Llegada=24822, Procesamiento=647
Llegada=24888, Procesamiento=366
Llegada=24930, Procesamiento=529
Llegada=24977, Procesamiento=114
Llegada=25211, Procesamiento=956
Llegada=25218, Procesamiento=846
Llegada=25229, Procesamiento=164
Llegada=25391, Procesamiento=253
Llegada=25396, Procesamiento=283
Llegada=25482, Procesamiento=362
Llegada=25487, Procesamiento=51
Llegada=25594, Procesamiento=18
Llegada=25723, Procesamiento=112
Llegada=25814, Procesamiento=137
Llegada=25899, Procesamiento=755
Llegada=25926, Procesamiento=659
Llegada=25961, Procesamiento=89
Llegada=26046, Procesamiento=620
Llegada=26077, Procesamiento=967
Llegada=26111, Procesamiento=956
Llegada=26142, Procesamiento=679
Llegada=26269, Procesamiento=813
Llegada=26313, Procesamiento=266
Llegada=26342, Procesamiento=692
Llegada=26422, Procesamiento=332
Llegada=26526, Procesamiento=912
Llegada=26553, Procesamiento=910
Llegada=26555, Procesamiento=402
Llegada=26617, Procesamiento=289
Llegada=26654, Procesamiento=664
Llegada=26761, Procesamiento=530
Llegada=26775, Procesamiento=917
Llegada=26778, Procesamiento=294
Llegada=26949, Procesamiento=788
Llegada=27012, Procesamiento=479
Llegada=27021, Procesamiento=962
Llegada=27241, Procesamiento=952
Llegada=27426, Procesamiento=710
Llegada=27439, Procesamiento=615
Llegada=27452, Procesamiento=788
Llegada=27462, Procesamiento=828
Llegada=27473, Procesamiento=826
Llegada=27703, Procesamiento=958
Llegada=27810, Procesamiento=291
Llegada=27838, Procesamiento=589
Llegada=27894, Procesamiento=588
Llegada=27984, Procesamiento=437
Llegada=28189, Procesamiento=603
Llegada=28278, Procesamiento=930
Llegada=28341, Procesamiento=952
Llegada=28438, Procesamiento=792
Llegada=28548, Procesamiento=884
Llegada=28630, Procesamiento=7
Llegada=28687, Procesamiento=948
Llegada=28735, Procesamiento=688
Llegada=28803, Procesamiento=853
Llegada=28853, Procesamiento=712
Llegada=28919, Procesamiento=845
Llegada=29054, Procesamiento=233
Llegada=29060, Procesamiento=821
Llegada=29061, Procesamiento=913
Llegada=29097, Procesamiento=28
Llegada=29228, Procesamiento=663
Llegada=29331, Procesamiento=450
Llegada=29353, Procesamiento=289
Llegada=29385, Procesamiento=424
Llegada=29475, Procesamiento=601
Llegada=29540, Procesamiento=227
Llegada=29545, Procesamiento=16
Llegada=29866, Procesamiento=669
Llegada=30199, Procesamiento=237
Llegada=30312, Procesamiento=726
Llegada=30332, Procesamiento=352
Llegada=30530, Procesamiento=963
Llegada=30698, Procesamiento=164
Llegada=30854, Procesamiento=725
Llegada=30886, Procesamiento=490
Llegada=30974, Procesamiento=9
Llegada=30988, Procesamiento=849
Llegada=31237, Procesamiento=933
Llegada=31287, Procesamiento=449
Llegada=31352, Procesamiento=488
Llegada=31364, Procesamiento=821
Llegada=31426, Procesamiento=612
Llegada=31465, Procesamiento=580
Llegada=31647, Procesamiento=958
Llegada=31773, Procesamiento=274
Llegada=31908, Procesamiento=983
Llegada=31910, Procesamiento=116
Llegada=32208, Procesamiento=654
Llegada=32258, Procesamiento=216
Llegada=32309, Procesamiento=416
Llegada=32337, Procesamiento=881
Llegada=32563, Procesamiento=666
Llegada=32721, Procesamiento=626
Llegada=32800, Procesamiento=781
Llegada=32940, Procesamiento=631
Llegada=33191, Procesamiento=789
Llegada=33261, Procesamiento=177
Llegada=33272, Procesamiento=858
Llegada=33549, Procesamiento=218
Llegada=33648, Procesamiento=814
Llegada=33855, Procesamiento=641
Llegada=33884, Procesamiento=570
Llegada=33981, Procesamiento=261
Llegada=34087, Procesamiento=312
Llegada=34119, Procesamiento=373
Llegada=34136, Procesamiento=792
Llegada=34207, Procesamiento=284
Llegada=34293, Procesamiento=723
Llegada=34405, Procesamiento=694
Llegada=34443, Procesamiento=330
Llegada=34449, Procesamiento=629
Llegada=34701, Procesamiento=421
Llegada=34809, Procesamiento=831
Llegada=35144, Procesamiento=39
Llegada=35378, Procesamiento=471
Llegada=35509, Procesamiento=925
Llegada=35629, Procesamiento=431
Llegada=35662, Procesamiento=239
Llegada=36011, Procesamiento=322
Llegada=36257, Procesamiento=795
Llegada=36382, Procesamiento=832
Llegada=36389, Procesamiento=709
Llegada=36578, Procesamiento=20
Llegada=36650, Procesamiento=372
Llegada=36812, Procesamiento=639
Llegada=36885, Procesamiento=446
Llegada=36892, Procesamiento=768
Llegada=36897, Procesamiento=641
Llegada=37070, Procesamiento=360
Llegada=37128, Procesamiento=452
Llegada=37194, Procesamiento=234
Llegada=37362, Procesamiento=97
Llegada=37427, Procesamiento=911
Llegada=37443, Procesamiento=692
Llegada=37447, Procesamiento=609
Llegada=37481, Procesamiento=504
Llegada=37488, Procesamiento=417
Llegada=37581, Procesamiento=141
Llegada=37717, Procesamiento=64
Llegada=37736, Procesamiento=56
Llegada=37910, Procesamiento=926
Llegada=38013, Procesamiento=428
Llegada=38073, Procesamiento=574
Llegada=38123, Procesamiento=904
Llegada=38188, Procesamiento=219
Llegada=38199, Procesamiento=285
Llegada=38600, Procesamiento=807
Llegada=38978, Procesamiento=120
